indice_tiempo,region_destino,estadia_media
2012-01-01,CABA,5.57
2012-01-01,Cuyo,7.05
2012-01-01,Córdoba,7.26
2012-01-01,Litoral,5.05
2012-01-01,Norte,8.01
2012-01-01,PBA - Partidos del GBA,7.18
2012-01-01,PBA - Resto,8.41
2012-01-01,Patagonia,9.05
2012-04-01,CABA,4.51
2012-04-01,Cuyo,3.77
2012-04-01,Córdoba,6.12
2012-04-01,Litoral,3.3
2012-04-01,Norte,4.36
2012-04-01,PBA - Partidos del GBA,4.11
2012-04-01,PBA - Resto,3.44
2012-04-01,Patagonia,5.33
2012-07-01,CABA,6.21
2012-07-01,Cuyo,4.37
2012-07-01,Córdoba,4.33
2012-07-01,Litoral,4.49
2012-07-01,Norte,5.38
2012-07-01,PBA - Partidos del GBA,6.31
2012-07-01,PBA - Resto,3.09
2012-07-01,Patagonia,5.89
2012-10-01,CABA,5.66
2012-10-01,Cuyo,3.31
2012-10-01,Córdoba,3.79
2012-10-01,Litoral,3.44
2012-10-01,Norte,3.72
2012-10-01,PBA - Partidos del GBA,4.02
2012-10-01,PBA - Resto,3.21
2012-10-01,Patagonia,6.75
2013-01-01,CABA,5.77
2013-01-01,Cuyo,7.7
2013-01-01,Córdoba,7.23
2013-01-01,Litoral,6.84
2013-01-01,Norte,9.88
2013-01-01,PBA - Partidos del GBA,7.8
2013-01-01,PBA - Resto,8.71
2013-01-01,Patagonia,8.28
2013-04-01,CABA,6.43
2013-04-01,Cuyo,3.28
2013-04-01,Córdoba,3.41
2013-04-01,Litoral,3.65
2013-04-01,Norte,4.82
2013-04-01,PBA - Partidos del GBA,6.63
2013-04-01,PBA - Resto,3.77
2013-04-01,Patagonia,5.88
2013-07-01,CABA,5
2013-07-01,Cuyo,5.53
2013-07-01,Córdoba,3.89
2013-07-01,Litoral,4.24
2013-07-01,Norte,4.59
2013-07-01,PBA - Partidos del GBA,5.01
2013-07-01,PBA - Resto,3.11
2013-07-01,Patagonia,5.9
2013-10-01,CABA,7.6
2013-10-01,Cuyo,4.35
2013-10-01,Córdoba,4.05
2013-10-01,Litoral,3.03
2013-10-01,Norte,4.44
2013-10-01,PBA - Partidos del GBA,6
2013-10-01,PBA - Resto,3.75
2013-10-01,Patagonia,4.89
2014-01-01,CABA,6.81
2014-01-01,Cuyo,7.14
2014-01-01,Córdoba,7.52
2014-01-01,Litoral,5.07
2014-01-01,Norte,7.05
2014-01-01,PBA - Partidos del GBA,9.44
2014-01-01,PBA - Resto,8.26
2014-01-01,Patagonia,8.37
2014-04-01,CABA,5.65
2014-04-01,Cuyo,3.97
2014-04-01,Córdoba,3.55
2014-04-01,Litoral,3.75
2014-04-01,Norte,4.02
2014-04-01,PBA - Partidos del GBA,5.85
2014-04-01,PBA - Resto,3.86
2014-04-01,Patagonia,4.93
2014-07-01,CABA,5.51
2014-07-01,Cuyo,3.86
2014-07-01,Córdoba,3.86
2014-07-01,Litoral,4.52
2014-07-01,Norte,4.52
2014-07-01,PBA - Partidos del GBA,3.99
2014-07-01,PBA - Resto,3.11
2014-07-01,Patagonia,7.58
2014-10-01,CABA,4.95
2014-10-01,Cuyo,4.44
2014-10-01,Córdoba,4.1
2014-10-01,Litoral,3.67
2014-10-01,Norte,3.57
2014-10-01,PBA - Partidos del GBA,3.96
2014-10-01,PBA - Resto,3.9
2014-10-01,Patagonia,6.61
2015-01-01,CABA,7.45
2015-01-01,Cuyo,8.09
2015-01-01,Córdoba,8.67
2015-01-01,Litoral,6.9
2015-01-01,Norte,7.64
2015-01-01,PBA - Partidos del GBA,9.04
2015-01-01,PBA - Resto,8.03
2015-01-01,Patagonia,9.91
2015-04-01,CABA,4.24
2015-04-01,Cuyo,4.28
2015-04-01,Córdoba,5.84
2015-04-01,Litoral,3.89
2015-04-01,Norte,4.61
2015-04-01,PBA - Partidos del GBA,3.41
2015-04-01,PBA - Resto,2.93
2015-04-01,Patagonia,6.32
2015-07-01,CABA,6.37
2015-07-01,Cuyo,6.1
2015-07-01,Córdoba,4.09
2015-07-01,Litoral,4.26
2015-07-01,Norte,5.06
2015-07-01,PBA - Partidos del GBA,5.84
2015-07-01,PBA - Resto,4.02
2015-07-01,Patagonia,7.13
2015-10-01,CABA,5.59
2015-10-01,Cuyo,4.57
2015-10-01,Córdoba,4.79
2015-10-01,Litoral,4.21
2015-10-01,Norte,8.77
2015-10-01,PBA - Partidos del GBA,2.93
2015-10-01,PBA - Resto,4.78
2015-10-01,Patagonia,6.81
2016-01-01,CABA,7.21
