indice_tiempo,region_destino,gasto_pesos_corrientes
2012-01-01,CABA,233076197
2012-01-01,Cuyo,828892477
2012-01-01,Córdoba,2274326854
2012-01-01,Litoral,1328772348
2012-01-01,Norte,1035505527
2012-01-01,PBA - Partidos del GBA,98460418
2012-01-01,PBA - Resto,5760289662
2012-01-01,Patagonia,1182457620
2012-04-01,CABA,271727536
2012-04-01,Cuyo,326531379
2012-04-01,Córdoba,670660879
2012-04-01,Litoral,959907541
2012-04-01,Norte,573579180
2012-04-01,PBA - Partidos del GBA,40953457
2012-04-01,PBA - Resto,713571541
2012-04-01,Patagonia,330448625
2012-07-01,CABA,427460222
2012-07-01,Cuyo,479620172
2012-07-01,Córdoba,705698628
2012-07-01,Litoral,1139192089
2012-07-01,Norte,1048587226
2012-07-01,PBA - Partidos del GBA,76886770
2012-07-01,PBA - Resto,855185047
2012-07-01,Patagonia,685921117
2012-10-01,CABA,420023502
2012-10-01,Cuyo,380593487
2012-10-01,Córdoba,769260281
2012-10-01,Litoral,866865270
2012-10-01,Norte,600076640
2012-10-01,PBA - Partidos del GBA,81816612
2012-10-01,PBA - Resto,1117415393
2012-10-01,Patagonia,633708414
2013-01-01,CABA,241808254
2013-01-01,Cuyo,898666209
2013-01-01,Córdoba,2436216888
2013-01-01,Litoral,1877492570
2013-01-01,Norte,1333418429
2013-01-01,PBA - Partidos del GBA,130527506
2013-01-01,PBA - Resto,6045946874
2013-01-01,Patagonia,1344555109
2013-04-01,CABA,357265175
2013-04-01,Cuyo,466413168
2013-04-01,Córdoba,730885293
2013-04-01,Litoral,976656736
2013-04-01,Norte,728177587
2013-04-01,PBA - Partidos del GBA,41412117
2013-04-01,PBA - Resto,974053173
2013-04-01,Patagonia,721202573
2013-07-01,CABA,488067234
2013-07-01,Cuyo,1046879405
2013-07-01,Córdoba,835898077
2013-07-01,Litoral,1332601495
2013-07-01,Norte,1271443359
2013-07-01,PBA - Partidos del GBA,33656822
2013-07-01,PBA - Resto,1173669871
2013-07-01,Patagonia,1420565440
2013-10-01,CABA,518874355
2013-10-01,Cuyo,422805018
2013-10-01,Córdoba,1010420008
2013-10-01,Litoral,1119620027
2013-10-01,Norte,712508785
2013-10-01,PBA - Partidos del GBA,93366061
2013-10-01,PBA - Resto,1992258225
2013-10-01,Patagonia,961708393
2014-01-01,CABA,517654925
2014-01-01,Cuyo,1237741695
2014-01-01,Córdoba,3067770224
