indice_tiempo,region_destino,gasto_promedio
2012-01-01,CABA,1229.73291
2012-01-01,Cuyo,988.38524
2012-01-01,Córdoba,1185.42628
2012-01-01,Litoral,648.42487
2012-01-01,Norte,777.49528
2012-01-01,PBA - Partidos del GBA,742.48109
2012-01-01,PBA - Resto,1134.88307
2012-01-01,Patagonia,1260.92633
2012-04-01,CABA,985.50199
2012-04-01,Cuyo,901.52479
2012-04-01,Córdoba,901.81379
2012-04-01,Litoral,638.89738
2012-04-01,Norte,705.35588
2012-04-01,PBA - Partidos del GBA,667.1248
2012-04-01,PBA - Resto,508.77235
2012-04-01,Patagonia,1254.95557
2012-07-01,CABA,1186.17697
2012-07-01,Cuyo,1007.79172
2012-07-01,Córdoba,1183.3592
2012-07-01,Litoral,1028.23987
2012-07-01,Norte,1169.77733
2012-07-01,PBA - Partidos del GBA,759.13558
2012-07-01,PBA - Resto,569.42677
2012-07-01,Patagonia,1542.05071
2012-10-01,CABA,2222.32305
2012-10-01,Cuyo,742.53016
2012-10-01,Córdoba,763.42694
2012-10-01,Litoral,850.82968
2012-10-01,Norte,612.81648
2012-10-01,PBA - Partidos del GBA,832.69668
2012-10-01,PBA - Resto,634.1669
2012-10-01,Patagonia,1668.32983
2013-01-01,CABA,1461.59812
2013-01-01,Cuyo,1089.95163
2013-01-01,Córdoba,1286.57073
2013-01-01,Litoral,1094.35542
2013-01-01,Norte,1147.69795
2013-01-01,PBA - Partidos del GBA,777.5187
2013-01-01,PBA - Resto,1304.97647
2013-01-01,Patagonia,1899.84317
2013-04-01,CABA,1490.78517
2013-04-01,Cuyo,894.35477
2013-04-01,Córdoba,828.12825
2013-04-01,Litoral,894.89632
2013-04-01,Norte,777.25834
2013-04-01,PBA - Partidos del GBA,656.10629
2013-04-01,PBA - Resto,634.48834
2013-04-01,Patagonia,1793.94254
2013-07-01,CABA,1545.09353
2013-07-01,Cuyo,1352.2918
2013-07-01,Córdoba,1060.46138
2013-07-01,Litoral,995.51362
2013-07-01,Norte,1050.88299
2013-07-01,PBA - Partidos del GBA,464.40498
2013-07-01,PBA - Resto,750.07629
2013-07-01,Patagonia,2681.38977
2013-10-01,CABA,1391.23326
2013-10-01,Cuyo,1681.04638
2013-10-01,Córdoba,1144.64964
2013-10-01,Litoral,753.88536
2013-10-01,Norte,975.97526
2013-10-01,PBA - Partidos del GBA,636.20361
2013-10-01,PBA - Resto,850.45037
2013-10-01,Patagonia,1940.78291
2014-01-01,CABA,2216.96606
2014-01-01,Cuyo,1786.69471
2014-01-01,Córdoba,1759.68125
2014-01-01,Litoral,1326.47026
2014-01-01,Norte,1280.66764
2014-01-01,PBA - Partidos del GBA,1597.72414
2014-01-01,PBA - Resto,1799.80925
2014-01-01,Patagonia,2812.81824
2014-04-01,CABA,2290.02434
2014-04-01,Cuyo,1309.19968
2014-04-01,Córdoba,973.84644
2014-04-01,Litoral,1171.81499
2014-04-01,Norte,1648.09976
2014-04-01,PBA - Partidos del GBA,875.78237
2014-04-01,PBA - Resto,1009.86392
2014-04-01,Patagonia,2284.67543
2014-07-01,CABA,2614.24418
2014-07-01,Cuyo,1219.8259
2014-07-01,Córdoba,1820.94164
2014-07-01,Litoral,1172.63921
2014-07-01,Norte,1617.95473
2014-07-01,PBA - Partidos del GBA,837.70175
2014-07-01,PBA - Resto,978.40804
2014-07-01,Patagonia,3296.97394
2014-10-01,CABA,2301.89182
2014-10-01,Cuyo,1324.09704
2014-10-01,Córdoba,1606.2537
2014-10-01,Litoral,1185.17678
2014-10-01,Norte,1081.46704
2014-10-01,PBA - Partidos del GBA,1061.76874
2014-10-01,PBA - Resto,1261.82349
2014-10-01,Patagonia,3638.62158
2015-01-01,CABA,2417.81136
2015-01-01,Cuyo,1789.58138
2015-01-01,Córdoba,2348.52292
2015-01-01,Litoral,1643.8661
2015-01-01,Norte,2008.53147
2015-01-01,PBA - Partidos del GBA,2199.39388
2015-01-01,PBA - Resto,2202.17259
2015-01-01,Patagonia,4008.24673
2015-04-01,CABA,3579.22516
2015-04-01,Cuyo,2660.519
2015-04-01,Córdoba,1740.7516
2015-04-01,Litoral,2188.23411
2015-04-01,Norte,2056.18255
2015-04-01,PBA - Partidos del GBA,583.18508
2015-04-01,PBA - Resto,1183.89329
2015-04-01,Patagonia,3823.72082
2015-07-01,CABA,2751.80722
2015-07-01,Cuyo,2967.94504
2015-07-01,Córdoba,2036.6819
2015-07-01,Litoral,2202.51793
2015-07-01,Norte,2252.16945
2015-07-01,PBA - Partidos del GBA,1613.36391
2015-07-01,PBA - Resto,1369.08687
2015-07-01,Patagonia,4311.51145
2015-10-01,CABA,2454.47125
2015-10-01,Cuyo,1963.83837
2015-10-01,Córdoba,1913.18232
2015-10-01,Litoral,1748.54496
2015-10-01,Norte,2177.68816
2015-10-01,PBA - Partidos del GBA,895.05756
2015-10-01,PBA - Resto,1757.58002
2015-10-01,Patagonia,5586.82583
2016-01-01,CABA,3577.22144
2016-01-01,Cuyo,2375.57928
2016-01-01,Córdoba,3007.42792
2016-01-01,Litoral,2275.28299
2016-01-01,Norte,2485.80338
2016-01-01,PBA - Partidos del GBA,2092.39722
2016-01-01,PBA - Resto,3123.81903
2016-01-01,Patagonia,4922.81424
2016-04-01,CABA,3427.26708
2016-04-01,Cuyo,1767.23515
2016-04-01,Córdoba,2184.8358
2016-04-01,Litoral,1974.33188
2016-04-01,Norte,2825.26805
2016-04-01,PBA - Partidos del GBA,2777.22035
2016-04-01,PBA - Resto,1629.01786
2016-04-01,Patagonia,4652.75853
2016-07-01,CABA,3103.82277
2016-07-01,Cuyo,2302.51298
2016-07-01,Córdoba,2149.79112
2016-07-01,Litoral,2708.38238
2016-07-01,Norte,2492.94281
2016-07-01,PBA - Partidos del GBA,1532.98645
2016-07-01,PBA - Resto,1456.23776
2016-07-01,Patagonia,6128.01327
2016-10-01,CABA,3680.0095
2016-10-01,Cuyo,2181.58275
2016-10-01,Córdoba,2370.54341
2016-10-01,Litoral,1800.84476
2016-10-01,Norte,1992.11602
2016-10-01,PBA - Partidos del GBA,1164.32721
2016-10-01,PBA - Resto,2431.46237
2016-10-01,Patagonia,3845.09066
2017-01-01,CABA,3409.13863
2017-01-01,Cuyo,3835.15197
2017-01-01,Córdoba,4512.79507
2017-01-01,Litoral,2859.87824
2017-01-01,Norte,2187.24536
2017-01-01,PBA - Partidos del GBA,6601.07485
2017-01-01,PBA - Resto,3526.00241
2017-01-01,Patagonia,5301.71845
2017-04-01,CABA,3690.57807
2017-04-01,Cuyo,2816.84277
2017-04-01,Córdoba,2302.92554
2017-04-01,Litoral,2426.49098
2017-04-01,Norte,1743.71253
2017-04-01,PBA - Partidos del GBA,1069.22472
2017-04-01,PBA - Resto,1590.49631
2017-04-01,Patagonia,4421.70416
2017-07-01,CABA,3783.07975
2017-07-01,Cuyo,3641.0863
2017-07-01,Córdoba,2613.12473
2017-07-01,Litoral,2683.95515
2017-07-01,Norte,3051.04719
2017-07-01,PBA - Partidos del GBA,1748.3361
2017-07-01,PBA - Resto,1576.15447
2017-07-01,Patagonia,6991.88795
2017-10-01,CABA,3925.55866
2017-10-01,Cuyo,2742.57004
2017-10-01,Córdoba,3205.64189
2017-10-01,Litoral,1967.53162
2017-10-01,Norte,2720.92482
2017-10-01,PBA - Partidos del GBA,961.20826
2017-10-01,PBA - Resto,2359.09923
2017-10-01,Patagonia,5294.75125
2018-01-01,CABA,5459.44956
2018-01-01,Cuyo,5436.61912
2018-01-01,Córdoba,4436.02722
2018-01-01,Litoral,2753.35019
2018-01-01,Norte,2884.04228
2018-01-01,PBA - Partidos del GBA,1371.36527
2018-01-01,PBA - Resto,3745.5301
2018-01-01,Patagonia,6539.32038
2018-04-01,CABA,5326.66595
2018-04-01,Cuyo,3715.88639
2018-04-01,Córdoba,3021.94974
2018-04-01,Litoral,2887.15178
2018-04-01,Norte,3407.18357
2018-04-01,PBA - Partidos del GBA,1628.5483
2018-04-01,PBA - Resto,1908.4523
2018-04-01,Patagonia,4721.48557
2018-07-01,CABA,7391.03034
2018-07-01,Cuyo,3810.61913
2018-07-01,Córdoba,2246.52264
2018-07-01,Litoral,2727.18362
2018-07-01,Norte,4347.34868
2018-07-01,PBA - Partidos del GBA,1314.52876
2018-07-01,PBA - Resto,2426.00337
2018-07-01,Patagonia,6238.36672
2018-10-01,CABA,4518.53889
2018-10-01,Cuyo,4130.03468
2018-10-01,Córdoba,3074.19472
2018-10-01,Litoral,2981.20346
