indice_tiempo,motivo,turistas
2012-01-01,"Vacaciones, ocio",9154502
2012-01-01,Visita a familiares y amigos,3020310
2012-01-01,"Trabajo, negocios",174990
2012-01-01,Otros,124064
2012-04-01,"Vacaciones, ocio",2637206
2012-04-01,Visita a familiares y amigos,2359631
2012-04-01,"Trabajo, negocios",263949
2012-04-01,Otros,163678
2012-07-01,"Vacaciones, ocio",2803653
2012-07-01,Visita a familiares y amigos,2128166
2012-07-01,"Trabajo, negocios",370186
2012-07-01,Otros,182859
2012-10-01,"Vacaciones, ocio",3188562
2012-10-01,Visita a familiares y amigos,2150249
2012-10-01,"Trabajo, negocios",364930
2012-10-01,Otros,243645
2013-01-01,"Vacaciones, ocio",7627832
2013-01-01,Visita a familiares y amigos,3248772
2013-01-01,"Trabajo, negocios",198225
2013-01-01,Otros,194711
2013-04-01,"Vacaciones, ocio",2543386
2013-04-01,Visita a familiares y amigos,2634997
2013-04-01,"Trabajo, negocios",273142
2013-04-01,Otros,220742
2013-07-01,"Vacaciones, ocio",2995025
2013-07-01,Visita a familiares y amigos,3125613
2013-07-01,"Trabajo, negocios",257636
2013-07-01,Otros,215482
2013-10-01,"Vacaciones, ocio",3083436
2013-10-01,Visita a familiares y amigos,3037123
2013-10-01,"Trabajo, negocios",311386
2013-10-01,Otros,275315
2014-01-01,"Vacaciones, ocio",6889530
2014-01-01,Visita a familiares y amigos,4403179
2014-01-01,"Trabajo, negocios",224075
2014-01-01,Otros,135830
2014-04-01,"Vacaciones, ocio",2532558
2014-04-01,Visita a familiares y amigos,2568947
2014-04-01,"Trabajo, negocios",127602
2014-04-01,Otros,238938
2014-07-01,"Vacaciones, ocio",3290821
2014-07-01,Visita a familiares y amigos,2509254
2014-07-01,"Trabajo, negocios",203164
2014-07-01,Otros,251381
2014-10-01,"Vacaciones, ocio",2613481
2014-10-01,Visita a familiares y amigos,2590713
2014-10-01,"Trabajo, negocios",158140
2014-10-01,Otros,185952
2015-01-01,"Vacaciones, ocio",7158736
2015-01-01,Visita a familiares y amigos,4170476
2015-01-01,"Trabajo, negocios",135572
2015-01-01,Otros,207692
2015-04-01,"Vacaciones, ocio",2238908
2015-04-01,Visita a familiares y amigos,2182017
2015-04-01,"Trabajo, negocios",120984
2015-04-01,Otros,188764
2015-07-01,"Vacaciones, ocio",2850117
2015-07-01,Visita a familiares y amigos,2330953
2015-07-01,"Trabajo, negocios",223324
2015-07-01,Otros,201774
2015-10-01,"Vacaciones, ocio",2347159
2015-10-01,Visita a familiares y amigos,2507497
2015-10-01,"Trabajo, negocios",113195
2015-10-01,Otros,195626
2016-01-01,"Vacaciones, ocio",6499482
2016-01-01,Visita a familiares y amigos,3202598
2016-01-01,"Trabajo, negocios",33586
2016-01-01,Otros,65021
2016-04-01,"Vacaciones, ocio",1341714
2016-04-01,Visita a familiares y amigos,1576677
2016-04-01,"Trabajo, negocios",140996
2016-04-01,Otros,132368
2016-07-01,"Vacaciones, ocio",3555917
2016-07-01,Visita a familiares y amigos,2528221
2016-07-01,"Trabajo, negocios",123560
2016-07-01,Otros,276005
2016-10-01,"Vacaciones, ocio",3071989
2016-10-01,Visita a familiares y amigos,2721267
2016-10-01,"Trabajo, negocios",148143
2016-10-01,Otros,147361
2017-01-01,"Vacaciones, ocio",6991383
2017-01-01,Visita a familiares y amigos,3194383
2017-01-01,"Trabajo, negocios",96094
2017-01-01,Otros,75190
2017-04-01,"Vacaciones, ocio",2367774
2017-04-01,Visita a familiares y amigos,1926982
2017-04-01,"Trabajo, negocios",150844
2017-04-01,Otros,180594
2017-07-01,"Vacaciones, ocio",4469955
2017-07-01,Visita a familiares y amigos,3397125
2017-07-01,"Trabajo, negocios",211162
2017-07-01,Otros,325592
2017-10-01,"Vacaciones, ocio",3604243
2017-10-01,Visita a familiares y amigos,2952977
2017-10-01,"Trabajo, negocios",163074
2017-10-01,Otros,267513
2018-01-01,"Vacaciones, ocio",7458729
2018-01-01,Visita a familiares y amigos,3701924
2018-01-01,"Trabajo, negocios",163787
2018-01-01,Otros,96925
2018-04-01,"Vacaciones, ocio",2148625
2018-04-01,Visita a familiares y amigos,1759640
2018-04-01,"Trabajo, negocios",147180
2018-04-01,Otros,147548
2018-07-01,"Vacaciones, ocio",2809070
2018-07-01,Visita a familiares y amigos,2349876
2018-07-01,"Trabajo, negocios",97796
2018-07-01,Otros,236484
2018-10-01,"Vacaciones, ocio",3831699
2018-10-01,Visita a familiares y amigos,2321285
2018-10-01,"Trabajo, negocios",102965
2018-10-01,Otros,148877
2019-01-01,"Vacaciones, ocio",6821698
2019-01-01,Visita a familiares y amigos,2874817
2019-01-01,"Trabajo, negocios",93280
2019-01-01,Otros,170936
2019-04-01,"Vacaciones, ocio",2150311
2019-04-01,Visita a familiares y amigos,1840759
2019-04-01,"Trabajo, negocios",139957
2019-04-01,Otros,145283
2019-07-01,"Vacaciones, ocio",3110996
2019-07-01,Visita a familiares y amigos,2662249
