indice_tiempo,region_destino,pernoctes
2012-01-01,CABA,1055309
2012-01-01,Cuyo,5913219
2012-01-01,Córdoba,13929935
2012-01-01,Litoral,10340905
2012-01-01,Norte,10672898
2012-01-01,PBA - Partidos del GBA,952624
2012-01-01,PBA - Resto,42696919
2012-01-01,Patagonia,8491224
2012-04-01,CABA,1243865
2012-04-01,Cuyo,1367199
2012-04-01,Córdoba,4551188
2012-04-01,Litoral,4954547
2012-04-01,Norte,3547000
2012-04-01,PBA - Partidos del GBA,252080
2012-04-01,PBA - Resto,4824973
2012-04-01,Patagonia,1404052
2012-07-01,CABA,2239476
2012-07-01,Cuyo,2078608
2012-07-01,Córdoba,2583719
2012-07-01,Litoral,4976984
2012-07-01,Norte,4825965
2012-07-01,PBA - Partidos del GBA,639461
2012-07-01,PBA - Resto,4634291
2012-07-01,Patagonia,2617913
2012-10-01,CABA,1069432
2012-10-01,Cuyo,1698070
2012-10-01,Córdoba,3818051
2012-10-01,Litoral,3503089
2012-10-01,Norte,3639734
2012-10-01,PBA - Partidos del GBA,395116
2012-10-01,PBA - Resto,5654571
2012-10-01,Patagonia,2563652
2013-01-01,CABA,954590
2013-01-01,Cuyo,6349516
2013-01-01,Córdoba,13681936
2013-01-01,Litoral,11728908
2013-01-01,Norte,11483617
2013-01-01,PBA - Partidos del GBA,1308689
2013-01-01,PBA - Resto,40370811
2013-01-01,Patagonia,5862734
2013-04-01,CABA,1541396
2013-04-01,Cuyo,1708261
2013-04-01,Córdoba,3009053
2013-04-01,Litoral,3979101
2013-04-01,Norte,4518664
2013-04-01,PBA - Partidos del GBA,418294
2013-04-01,PBA - Resto,5784775
2013-04-01,Patagonia,2362714
2013-07-01,CABA,1578384
2013-07-01,Cuyo,4282178
2013-07-01,Córdoba,3070165
2013-07-01,Litoral,5670181
2013-07-01,Norte,5557694
2013-07-01,PBA - Partidos del GBA,363303
2013-07-01,PBA - Resto,4860153
2013-07-01,Patagonia,3124918
2013-10-01,CABA,2835575
2013-10-01,Cuyo,1095277
2013-10-01,Córdoba,3575925
2013-10-01,Litoral,4495522
2013-10-01,Norte,3242066
2013-10-01,PBA - Partidos del GBA,880886
2013-10-01,PBA - Resto,8778252
2013-10-01,Patagonia,2421699
2014-01-01,CABA,1589219
2014-01-01,Cuyo,4946687
2014-01-01,Córdoba,13103185
2014-01-01,Litoral,10071088
2014-01-01,Norte,6682888
2014-01-01,PBA - Partidos del GBA,860855
2014-01-01,PBA - Resto,41525574
2014-01-01,Patagonia,7805483
2014-04-01,CABA,1046256
2014-04-01,Cuyo,1591648
2014-04-01,Córdoba,2852831
2014-04-01,Litoral,4285983
2014-04-01,Norte,3055671
2014-04-01,PBA - Partidos del GBA,189558
2014-04-01,PBA - Resto,7134639
2014-04-01,Patagonia,1451269
2014-07-01,CABA,1740413
2014-07-01,Cuyo,2900985
2014-07-01,Córdoba,2613790
