indice_tiempo,quintil,turistas
2012-01-01,Quintiles 1 y 2,2758449
2012-01-01,Quintiles 3 y 4,5355884
2012-01-01,Quintil 5,4359533
2012-04-01,Quintiles 1 y 2,1284712
2012-04-01,Quintiles 3 y 4,2198316
2012-04-01,Quintil 5,1941436
2012-07-01,Quintiles 1 y 2,1234827
2012-07-01,Quintiles 3 y 4,2037272
2012-07-01,Quintil 5,2212765
2012-10-01,Quintiles 1 y 2,1450369
2012-10-01,Quintiles 3 y 4,2000033
2012-10-01,Quintil 5,2496984
2013-01-01,Quintiles 1 y 2,2633196
2013-01-01,Quintiles 3 y 4,4826966
2013-01-01,Quintil 5,3809378
2013-04-01,Quintiles 1 y 2,999453
2013-04-01,Quintiles 3 y 4,2326289
2013-04-01,Quintil 5,2346525
2013-07-01,Quintiles 1 y 2,1323883
2013-07-01,Quintiles 3 y 4,2501370
2013-07-01,Quintil 5,2768503
2013-10-01,Quintiles 1 y 2,1327307
2013-10-01,Quintiles 3 y 4,2895702
2013-10-01,Quintil 5,2484251
2014-01-01,Quintiles 1 y 2,2592587
2014-01-01,Quintiles 3 y 4,4949308
2014-01-01,Quintil 5,4110719
2014-04-01,Quintiles 1 y 2,993096
2014-04-01,Quintiles 3 y 4,2415943
2014-04-01,Quintil 5,2059006
2014-07-01,Quintiles 1 y 2,1014503
2014-07-01,Quintiles 3 y 4,2338684
2014-07-01,Quintil 5,2901433
2014-10-01,Quintiles 1 y 2,987695
2014-10-01,Quintiles 3 y 4,2375453
2014-10-01,Quintil 5,2185138
2015-01-01,Quintiles 1 y 2,2757772
2015-01-01,Quintiles 3 y 4,4687598
2015-01-01,Quintil 5,4227106
2015-04-01,Quintiles 1 y 2,914051
2015-04-01,Quintiles 3 y 4,1650169
2015-04-01,Quintil 5,2166453
2015-07-01,Quintiles 1 y 2,954833
2015-07-01,Quintiles 3 y 4,2501030
2015-07-01,Quintil 5,2150305
2015-10-01,Quintiles 1 y 2,1298210
2015-10-01,Quintiles 3 y 4,2148333
2015-10-01,Quintil 5,1716934
2016-01-01,Quintiles 1 y 2,2257074
2016-01-01,Quintiles 3 y 4,4515847
2016-01-01,Quintil 5,3027766
2016-04-01,Quintiles 1 y 2,542727
2016-04-01,Quintiles 3 y 4,1210864
2016-04-01,Quintil 5,1438164
2016-07-01,Quintiles 1 y 2,1082278
2016-07-01,Quintiles 3 y 4,2360752
2016-07-01,Quintil 5,3040673
2016-10-01,Quintiles 1 y 2,1500753
2016-10-01,Quintiles 3 y 4,2270671
2016-10-01,Quintil 5,2317336
2017-01-01,Quintiles 1 y 2,2987204
2017-01-01,Quintiles 3 y 4,4284508
2017-01-01,Quintil 5,3085338
2017-04-01,Quintiles 1 y 2,740065
2017-04-01,Quintiles 3 y 4,2048642
2017-04-01,Quintil 5,1837487
2017-07-01,Quintiles 1 y 2,1692603
2017-07-01,Quintiles 3 y 4,3353922
2017-07-01,Quintil 5,3357309
2017-10-01,Quintiles 1 y 2,1499915
2017-10-01,Quintiles 3 y 4,2851508
2017-10-01,Quintil 5,2636384
2018-01-01,Quintiles 1 y 2,2720990
2018-01-01,Quintiles 3 y 4,4194800
2018-01-01,Quintil 5,4505575
2018-04-01,Quintiles 1 y 2,603103
2018-04-01,Quintiles 3 y 4,1608333
2018-04-01,Quintil 5,1991557
2018-07-01,Quintiles 1 y 2,930300
2018-07-01,Quintiles 3 y 4,1956889
2018-07-01,Quintil 5,2606037
2018-10-01,Quintiles 1 y 2,671025
2018-10-01,Quintiles 3 y 4,2461325
2018-10-01,Quintil 5,3272476
2019-01-01,Quintiles 1 y 2,1743728
2019-01-01,Quintiles 3 y 4,4273781
2019-01-01,Quintil 5,3943222
2019-04-01,Quintiles 1 y 2,674414
2019-04-01,Quintiles 3 y 4,1453072
2019-04-01,Quintil 5,2148824
2019-07-01,Quintiles 1 y 2,1033985
2019-07-01,Quintiles 3 y 4,2514548
2019-07-01,Quintil 5,2550731
2019-10-01,Quintiles 1 y 2,1285846
2019-10-01,Quintiles 3 y 4,2646484
2019-10-01,Quintil 5,2488081
2020-01-01,Quintiles 1 y 2,1868240
2020-01-01,Quintiles 3 y 4,3868373
2020-01-01,Quintil 5,3054458
2020-04-01,Quintiles 1 y 2,52808
2020-04-01,Quintiles 3 y 4,54368
2020-04-01,Quintil 5,67687
2020-07-01,Quintiles 1 y 2,50955
2020-07-01,Quintiles 3 y 4,107543
2020-07-01,Quintil 5,501865
2020-10-01,Quintiles 1 y 2,455001
2020-10-01,Quintiles 3 y 4,971447
2020-10-01,Quintil 5,1245994
2021-01-01,Quintiles 1 y 2,1060839
2021-01-01,Quintiles 3 y 4,2629405
2021-01-01,Quintil 5,2540357
2021-04-01,Quintiles 1 y 2,283654
2021-04-01,Quintiles 3 y 4,768411
2021-04-01,Quintil 5,1196928
2021-07-01,Quintiles 1 y 2,650113
2021-07-01,Quintiles 3 y 4,1369789
2021-07-01,Quintil 5,2066717
2021-10-01,Quintiles 1 y 2,1259139
2021-10-01,Quintiles 3 y 4,1830869
2021-10-01,Quintil 5,2261249
2022-01-01,Quintiles 1 y 2,2606750
2022-01-01,Quintiles 3 y 4,5394737
2022-01-01,Quintil 5,4386909
2022-04-01,Quintiles 1 y 2,1328546
2022-04-01,Quintiles 3 y 4,1974831
2022-04-01,Quintil 5,2079536
2022-07-01,Quintiles 1 y 2,947665
2022-07-01,Quintiles 3 y 4,1890859
2022-07-01,Quintil 5,3287776
2022-10-01,Quintiles 1 y 2,1008754
2022-10-01,Quintiles 3 y 4,2503368
2022-10-01,Quintil 5,3637536
2023-01-01,Quintiles 1 y 2,1606820
2023-01-01,Quintiles 3 y 4,5174461
2023-01-01,Quintil 5,4338545
2023-04-01,Quintiles 1 y 2,658581
2023-04-01,Quintiles 3 y 4,1843496
2023-04-01,Quintil 5,2370364
2023-07-01,Quintiles 1 y 2,839590.31
2023-07-01,Quintiles 3 y 4,2024777.54
2023-07-01,Quintil 5,2265076.62
2023-10-01,Quintiles 1 y 2,1100906
2023-10-01,Quintiles 3 y 4,2357210
2023-10-01,Quintil 5,2295560
2024-01-01,Quintiles 1 y 2,1775713
2024-01-01,Quintiles 3 y 4,4086551
2024-01-01,Quintil 5,4181658
2024-04-01,Quintiles 1 y 2,685793
2024-04-01,Quintiles 3 y 4,1727866
2024-04-01,Quintil 5,1650974
