indice_tiempo,tipo_alojamiento,turistas
2012-01-01,Camping,1101861
2012-01-01,Hotel o similar hasta 3 estrellas,2180408
2012-01-01,Hotel similar 4 o 5 estrellas,381415
2012-01-01,Resto,82923
2012-01-01,Segunda vivienda del hogar,1976148
2012-01-01,Vivienda alquilada por temporada,2261466
2012-01-01,Vivienda de familiares y amigos,4489645
2012-04-01,Camping,225442
2012-04-01,Hotel o similar hasta 3 estrellas,1078891
2012-04-01,Hotel similar 4 o 5 estrellas,129330
2012-04-01,Resto,39518
2012-04-01,Segunda vivienda del hogar,1040444
2012-04-01,Vivienda alquilada por temporada,227638
2012-04-01,Vivienda de familiares y amigos,2683201
2012-07-01,Camping,230254
2012-07-01,Hotel o similar hasta 3 estrellas,1323383
2012-07-01,Hotel similar 4 o 5 estrellas,267781
2012-07-01,Resto,87897
2012-07-01,Segunda vivienda del hogar,794546
2012-07-01,Vivienda alquilada por temporada,163214
2012-07-01,Vivienda de familiares y amigos,2617789
2012-10-01,Camping,570121
2012-10-01,Hotel o similar hasta 3 estrellas,1395381
2012-10-01,Hotel similar 4 o 5 estrellas,268396
2012-10-01,Resto,22856
2012-10-01,Segunda vivienda del hogar,1033366
2012-10-01,Vivienda alquilada por temporada,168626
2012-10-01,Vivienda de familiares y amigos,2488640
2013-01-01,Camping,940048
2013-01-01,Hotel o similar hasta 3 estrellas,2174678
2013-01-01,Hotel similar 4 o 5 estrellas,287000
2013-01-01,Resto,50125
2013-01-01,Segunda vivienda del hogar,1474101
2013-01-01,Vivienda alquilada por temporada,1865890
2013-01-01,Vivienda de familiares y amigos,4477698
2013-04-01,Camping,173138
2013-04-01,Hotel o similar hasta 3 estrellas,1265232
2013-04-01,Hotel similar 4 o 5 estrellas,198805
2013-04-01,Resto,48195
2013-04-01,Segunda vivienda del hogar,926553
2013-04-01,Vivienda alquilada por temporada,208483
2013-04-01,Vivienda de familiares y amigos,2851861
2013-07-01,Camping,107885
2013-07-01,Hotel o similar hasta 3 estrellas,1412547
2013-07-01,Hotel similar 4 o 5 estrellas,239513
2013-07-01,Resto,32738
2013-07-01,Segunda vivienda del hogar,1050284
2013-07-01,Vivienda alquilada por temporada,181556
2013-07-01,Vivienda de familiares y amigos,3569233
2013-10-01,Camping,364143
2013-10-01,Hotel o similar hasta 3 estrellas,1417317
2013-10-01,Hotel similar 4 o 5 estrellas,261167
2013-10-01,Resto,35751
2013-10-01,Segunda vivienda del hogar,1009511
2013-10-01,Vivienda alquilada por temporada,301885
2013-10-01,Vivienda de familiares y amigos,3317486
2014-01-01,Camping,761752
2014-01-01,Hotel o similar hasta 3 estrellas,2331095
2014-01-01,Hotel similar 4 o 5 estrellas,261195
2014-01-01,Resto,15096
2014-01-01,Segunda vivienda del hogar,1067770
2014-01-01,Vivienda alquilada por temporada,1669987
2014-01-01,Vivienda de familiares y amigos,5545719
2014-04-01,Camping,180090
2014-04-01,Hotel o similar hasta 3 estrellas,1283379
2014-04-01,Hotel similar 4 o 5 estrellas,104376
2014-04-01,Resto,14842
2014-04-01,Segunda vivienda del hogar,1015146
2014-04-01,Vivienda alquilada por temporada,177122
2014-04-01,Vivienda de familiares y amigos,2693090
2014-07-01,Camping,127274
2014-07-01,Hotel o similar hasta 3 estrellas,1490360
2014-07-01,Hotel similar 4 o 5 estrellas,155709
2014-07-01,Resto,30850
2014-07-01,Segunda vivienda del hogar,1459037
2014-07-01,Vivienda alquilada por temporada,289121
2014-07-01,Vivienda de familiares y amigos,2702269
2014-10-01,Camping,205272
2014-10-01,Hotel o similar hasta 3 estrellas,1329416
2014-10-01,Hotel similar 4 o 5 estrellas,165816
2014-10-01,Resto,19991
2014-10-01,Segunda vivienda del hogar,693979
2014-10-01,Vivienda alquilada por temporada,241487
2014-10-01,Vivienda de familiares y amigos,2892325
2015-01-01,Camping,999037
2015-01-01,Hotel o similar hasta 3 estrellas,2183400
2015-01-01,Hotel similar 4 o 5 estrellas,247217
2015-01-01,Resto,50969
2015-01-01,Segunda vivienda del hogar,642786
2015-01-01,Vivienda alquilada por temporada,2411339
2015-01-01,Vivienda de familiares y amigos,5137728
2015-04-01,Camping,326232
2015-04-01,Hotel o similar hasta 3 estrellas,1109571
2015-04-01,Hotel similar 4 o 5 estrellas,96859
2015-04-01,Resto,31557
2015-04-01,Segunda vivienda del hogar,672359
2015-04-01,Vivienda alquilada por temporada,171243
2015-04-01,Vivienda de familiares y amigos,2322852
2015-07-01,Camping,139216
2015-07-01,Hotel o similar hasta 3 estrellas,1853682
2015-07-01,Hotel similar 4 o 5 estrellas,189508
2015-07-01,Resto,50128
2015-07-01,Segunda vivienda del hogar,474227
2015-07-01,Vivienda alquilada por temporada,304801
2015-07-01,Vivienda de familiares y amigos,2594606
2015-10-01,Camping,139490
2015-10-01,Hotel o similar hasta 3 estrellas,1260451
2015-10-01,Hotel similar 4 o 5 estrellas,237765
