indice_tiempo,region_de_destino,establecimientos_abiertos
2020-04,Buenos Aires,19
2020-04,CABA,51
2020-04,Córdoba,15
2020-04,Cuyo,68
2020-04,Litoral,37
2020-04,Norte,37
2020-04,Patagonia,46
2020-05,Buenos Aires,33
2020-05,CABA,59
2020-05,Córdoba,16
2020-05,Cuyo,75
2020-05,Litoral,42
2020-05,Norte,51
2020-05,Patagonia,63
2020-06,Buenos Aires,11
2020-06,CABA,55
2020-06,Córdoba,9
2020-06,Cuyo,76
2020-06,Litoral,5
2020-06,Norte,51
2020-06,Patagonia,40
2020-07,Buenos Aires,9
2020-07,CABA,55
2020-07,Córdoba,9
2020-07,Cuyo,71
2020-07,Litoral,6
2020-07,Norte,47
2020-07,Patagonia,17
2020-08,Buenos Aires,9
2020-08,CABA,57
2020-08,Córdoba,10
2020-08,Cuyo,70
2020-08,Litoral,7
2020-08,Norte,50
2020-08,Patagonia,25
2020-09,Buenos Aires,11
2020-09,CABA,45
2020-09,Córdoba,15
2020-09,Cuyo,58
2020-09,Litoral,8
2020-09,Norte,34
2020-09,Patagonia,17
2020-10,Buenos Aires,11
2020-10,CABA,32
2020-10,Córdoba,9
2020-10,Cuyo,42
2020-10,Litoral,8
2020-10,Norte,18
2020-10,Patagonia,13
2020-11,Buenos Aires,11
2020-11,CABA,17
2020-11,Córdoba,3
2020-11,Cuyo,13
2020-11,Litoral,13
2020-11,Norte,6
2020-11,Patagonia,12
2020-12,Buenos Aires,8
2020-12,CABA,11
2020-12,Córdoba,0
2020-12,Cuyo,5
2020-12,Litoral,11
2020-12,Norte,3
2020-12,Patagonia,11
2021-01,Buenos Aires,9
2021-01,CABA,10
2021-01,Córdoba,0
2021-01,Cuyo,4
2021-01,Litoral,10
2021-01,Norte,0
2021-01,Patagonia,11
2021-02,Buenos Aires,9
2021-02,CABA,9
2021-02,Córdoba,0
2021-02,Cuyo,3
2021-02,Litoral,10
2021-02,Norte,0
2021-02,Patagonia,11
2021-03,Buenos Aires,9
2021-03,CABA,7
2021-03,Córdoba,0
2021-03,Cuyo,2
2021-03,Litoral,13
2021-03,Norte,0
2021-03,Patagonia,9
2021-04,Buenos Aires,9
2021-04,CABA,9
2021-04,Córdoba,0
2021-04,Cuyo,4
2021-04,Litoral,13
2021-04,Norte,0
2021-04,Patagonia,8
2021-05,Buenos Aires,9
2021-05,CABA,9
2021-05,Córdoba,0
2021-05,Cuyo,5
2021-05,Litoral,12
2021-05,Norte,0
2021-05,Patagonia,7
