indice_tiempo,region_de_destino,origen_viajeros,estadia_media_en_noches,observaciones
2007-01-01,Buenos Aires,Total,5.3,""
2007-01-01,Buenos Aires,Residentes,5.3,""
2007-01-01,Buenos Aires,No residentes,3.8,""
2007-01-01,CABA,Total,2.4,""
2007-01-01,CABA,Residentes,2.3,""
2007-01-01,CABA,No residentes,2.4,""
2007-01-01,Cuyo,Total,2.6,""
2007-01-01,Cuyo,Residentes,2.7,""
2007-01-01,Cuyo,No residentes,2.2,""
2007-01-01,Córdoba,Total,3.8,""
2007-01-01,Córdoba,Residentes,3.9,""
2007-01-01,Córdoba,No residentes,2.6,""
2007-01-01,Litoral,Total,1.8,""
2007-01-01,Litoral,Residentes,1.8,""
2007-01-01,Litoral,No residentes,2,""
2007-01-01,Norte,Total,1.7,""
2007-01-01,Norte,Residentes,1.7,""
2007-01-01,Norte,No residentes,1.9,""
2007-01-01,Patagonia,Total,2.4,""
2007-01-01,Patagonia,Residentes,2.6,""
2007-01-01,Patagonia,No residentes,2.2,""
2007-02-01,Buenos Aires,Total,4.9,""
2007-02-01,Buenos Aires,Residentes,5,""
2007-02-01,Buenos Aires,No residentes,3.2,""
2007-02-01,CABA,Total,2.3,""
2007-02-01,CABA,Residentes,2.2,""
2007-02-01,CABA,No residentes,2.3,""
2007-02-01,Cuyo,Total,2.3,""
2007-02-01,Cuyo,Residentes,2.4,""
2007-02-01,Cuyo,No residentes,2.2,""
2007-02-01,Córdoba,Total,3.5,""
2007-02-01,Córdoba,Residentes,3.5,""
2007-02-01,Córdoba,No residentes,2.7,""
2007-02-01,Litoral,Total,1.9,""
2007-02-01,Litoral,Residentes,1.9,""
2007-02-01,Litoral,No residentes,1.9,""
2007-02-01,Norte,Total,1.7,""
2007-02-01,Norte,Residentes,1.7,""
2007-02-01,Norte,No residentes,2,""
2007-02-01,Patagonia,Total,2.4,""
2007-02-01,Patagonia,Residentes,2.4,""
2007-02-01,Patagonia,No residentes,2.3,""
2007-03-01,Buenos Aires,Total,3.5,""
2007-03-01,Buenos Aires,Residentes,3.5,""
2007-03-01,Buenos Aires,No residentes,3,""
2007-03-01,CABA,Total,2.2,""
2007-03-01,CABA,Residentes,2.1,""
2007-03-01,CABA,No residentes,2.2,""
2007-03-01,Cuyo,Total,2.2,""
2007-03-01,Cuyo,Residentes,2.2,""
2007-03-01,Cuyo,No residentes,2.3,""
2007-03-01,Córdoba,Total,2.5,""
2007-03-01,Córdoba,Residentes,2.5,""
2007-03-01,Córdoba,No residentes,2.4,""
2007-03-01,Litoral,Total,1.7,""
2007-03-01,Litoral,Residentes,1.7,""
