indice_tiempo,region_de_destino,origen_pernoctes,pernoctes,observaciones
2007-01-01,Buenos Aires,Residentes,2137954,""
2007-01-01,Buenos Aires,No residentes,49090,""
2007-01-01,CABA,Residentes,313289,""
2007-01-01,CABA,No residentes,477774,""
2007-01-01,Cuyo,Residentes,338321,""
2007-01-01,Cuyo,No residentes,72272,""
2007-01-01,Córdoba,Residentes,987144,""
2007-01-01,Córdoba,No residentes,16439,""
2007-01-01,Litoral,Residentes,497544,""
2007-01-01,Litoral,No residentes,51330,""
2007-01-01,Norte,Residentes,282307,""
2007-01-01,Norte,No residentes,39613,""
2007-01-01,Patagonia,Residentes,804954,""
2007-01-01,Patagonia,No residentes,365599,""
2007-02-01,Buenos Aires,Residentes,1765427,""
2007-02-01,Buenos Aires,No residentes,36717,""
2007-02-01,CABA,Residentes,330814,""
2007-02-01,CABA,No residentes,466481,""
2007-02-01,Cuyo,Residentes,299065,""
2007-02-01,Cuyo,No residentes,82965,""
2007-02-01,Córdoba,Residentes,766762,""
2007-02-01,Córdoba,No residentes,21353,""
2007-02-01,Litoral,Residentes,471184,""
2007-02-01,Litoral,No residentes,50383,""
2007-02-01,Norte,Residentes,217115,""
2007-02-01,Norte,No residentes,40499,""
2007-02-01,Patagonia,Residentes,628709,""
2007-02-01,Patagonia,No residentes,403606,""
2007-03-01,Buenos Aires,Residentes,899228,""
2007-03-01,Buenos Aires,No residentes,19759,""
2007-03-01,CABA,Residentes,396266,""
2007-03-01,CABA,No residentes,503679,""
2007-03-01,Cuyo,Residentes,280777,""
2007-03-01,Cuyo,No residentes,78501,""
2007-03-01,Córdoba,Residentes,374074,""
2007-03-01,Córdoba,No residentes,17827,""
2007-03-01,Litoral,Residentes,402998,""
2007-03-01,Litoral,No residentes,42456,""
2007-03-01,Norte,Residentes,192567,""
2007-03-01,Norte,No residentes,37283,""
2007-03-01,Patagonia,Residentes,464406,""
2007-03-01,Patagonia,No residentes,247838,""
2007-04-01,Buenos Aires,Residentes,566528,""
2007-04-01,Buenos Aires,No residentes,7384,""
2007-04-01,CABA,Residentes,383922,""
2007-04-01,CABA,No residentes,506323,""
2007-04-01,Cuyo,Residentes,264787,""
2007-04-01,Cuyo,No residentes,73869,""
2007-04-01,Córdoba,Residentes,334183,""
2007-04-01,Córdoba,No residentes,13094,""
2007-04-01,Litoral,Residentes,368313,""
2007-04-01,Litoral,No residentes,43599,""
2007-04-01,Norte,Residentes,244252,""
2007-04-01,Norte,No residentes,36398,""
2007-04-01,Patagonia,Residentes,372304,""
2007-04-01,Patagonia,No residentes,140692,""
2007-05-01,Buenos Aires,Residentes,273088,""
2007-05-01,Buenos Aires,No residentes,4625,""
2007-05-01,CABA,Residentes,394489,""
2007-05-01,CABA,No residentes,415597,""
2007-05-01,Cuyo,Residentes,212427,""
2007-05-01,Cuyo,No residentes,37998,""
2007-05-01,Córdoba,Residentes,239238,""
2007-05-01,Córdoba,No residentes,17411,""
2007-05-01,Litoral,Residentes,368982,""
2007-05-01,Litoral,No residentes,34366,""
2007-05-01,Norte,Residentes,216312,""
2007-05-01,Norte,No residentes,22659,""
2007-05-01,Patagonia,Residentes,266674,""
2007-05-01,Patagonia,No residentes,65314,""
2007-06-01,Buenos Aires,Residentes,226685,""
2007-06-01,Buenos Aires,No residentes,5091,""
2007-06-01,CABA,Residentes,379930,""
2007-06-01,CABA,No residentes,400154,""
2007-06-01,Cuyo,Residentes,187168,""
2007-06-01,Cuyo,No residentes,21622,""
2007-06-01,Córdoba,Residentes,209585,""
2007-06-01,Córdoba,No residentes,16424,""
2007-06-01,Litoral,Residentes,355724,""
2007-06-01,Litoral,No residentes,36294,""
2007-06-01,Norte,Residentes,251976,""
2007-06-01,Norte,No residentes,20174,""
2007-06-01,Patagonia,Residentes,286178,""
2007-06-01,Patagonia,No residentes,77307,""
2007-07-01,Buenos Aires,Residentes,387241,""
2007-07-01,Buenos Aires,No residentes,4167,""
2007-07-01,CABA,Residentes,468587,""
2007-07-01,CABA,No residentes,490596,""
2007-07-01,Cuyo,Residentes,360585,""
2007-07-01,Cuyo,No residentes,38735,""
2007-07-01,Córdoba,Residentes,442243,""
2007-07-01,Córdoba,No residentes,14439,""
2007-07-01,Litoral,Residentes,487162,""
2007-07-01,Litoral,No residentes,47107,""
2007-07-01,Norte,Residentes,502185,""
2007-07-01,Norte,No residentes,31993,""
2007-07-01,Patagonia,Residentes,535792,""
2007-07-01,Patagonia,No residentes,338641,""
2007-08-01,Buenos Aires,Residentes,341574,""
2007-08-01,Buenos Aires,No residentes,6109,""
2007-08-01,CABA,Residentes,435889,""
2007-08-01,CABA,No residentes,431319,""
2007-08-01,Cuyo,Residentes,265575,""
2007-08-01,Cuyo,No residentes,33138,""
2007-08-01,Córdoba,Residentes,258184,""
2007-08-01,Córdoba,No residentes,14074,""
2007-08-01,Litoral,Residentes,440004,""
2007-08-01,Litoral,No residentes,43878,""
2007-08-01,Norte,Residentes,380260,""
2007-08-01,Norte,No residentes,40633,""
2007-08-01,Patagonia,Residentes,558109,""
2007-08-01,Patagonia,No residentes,243949,""
2007-09-01,Buenos Aires,Residentes,342380,""
2007-09-01,Buenos Aires,No residentes,4930,""
2007-09-01,CABA,Residentes,418550,""
2007-09-01,CABA,No residentes,461222,""
2007-09-01,Cuyo,Residentes,244026,""
2007-09-01,Cuyo,No residentes,37577,""
2007-09-01,Córdoba,Residentes,264265,""
2007-09-01,Córdoba,No residentes,16368,""
2007-09-01,Litoral,Residentes,422833,""
2007-09-01,Litoral,No residentes,49875,""
2007-09-01,Norte,Residentes,355162,""
2007-09-01,Norte,No residentes,34281,""
2007-09-01,Patagonia,Residentes,570827,""
2007-09-01,Patagonia,No residentes,206435,""
2007-10-01,Buenos Aires,Residentes,519299,""
2007-10-01,Buenos Aires,No residentes,9199,""
2007-10-01,CABA,Residentes,434543,""
2007-10-01,CABA,No residentes,528501,""
2007-10-01,Cuyo,Residentes,223835,""
2007-10-01,Cuyo,No residentes,45943,""
2007-10-01,Córdoba,Residentes,320961,""
2007-10-01,Córdoba,No residentes,18812,""
2007-10-01,Litoral,Residentes,427328,""
2007-10-01,Litoral,No residentes,51100,""
2007-10-01,Norte,Residentes,262049,""
2007-10-01,Norte,No residentes,41296,""
2007-10-01,Patagonia,Residentes,424402,""
2007-10-01,Patagonia,No residentes,274820,""
2007-11-01,Buenos Aires,Residentes,617972,""
2007-11-01,Buenos Aires,No residentes,11207,""
2007-11-01,CABA,Residentes,443126,""
2007-11-01,CABA,No residentes,543818,""
2007-11-01,Cuyo,Residentes,240701,""
2007-11-01,Cuyo,No residentes,66240,""
2007-11-01,Córdoba,Residentes,291737,""
2007-11-01,Córdoba,No residentes,16558,""
2007-11-01,Litoral,Residentes,417269,""
2007-11-01,Litoral,No residentes,59565,""
2007-11-01,Norte,Residentes,215631,""
2007-11-01,Norte,No residentes,47208,""
2007-11-01,Patagonia,Residentes,358772,""
2007-11-01,Patagonia,No residentes,428438,""
2007-12-01,Buenos Aires,Residentes,757833,""
2007-12-01,Buenos Aires,No residentes,19978,""
2007-12-01,CABA,Residentes,363372,""
2007-12-01,CABA,No residentes,531788,""
2007-12-01,Cuyo,Residentes,201901,""
2007-12-01,Cuyo,No residentes,48728,""
2007-12-01,Córdoba,Residentes,364563,""
2007-12-01,Córdoba,No residentes,13679,""
2007-12-01,Litoral,Residentes,386667,""
2007-12-01,Litoral,No residentes,53272,""
