indice_tiempo,localidad,origen_viajeros,viajeros,observaciones
2018-01-01,Bahía Blanca,Total,11401,""
2018-01-01,Bahía Blanca,Residentes,10869,""
2018-01-01,Bahía Blanca,No residentes,532,""
2018-01-01,Bariloche,Total,90610,""
2018-01-01,Bariloche,Residentes,68482,""
2018-01-01,Bariloche,No residentes,22128,""
2018-01-01,CABA,Total,369021,""
2018-01-01,CABA,Residentes,179520,""
2018-01-01,CABA,No residentes,189501,""
2018-01-01,Cafayate,Total,15300,""
2018-01-01,Cafayate,Residentes,13595,""
2018-01-01,Cafayate,No residentes,1705,""
2018-01-01,Calafate,Total,55772,""
2018-01-01,Calafate,Residentes,27397,""
2018-01-01,Calafate,No residentes,28375,""
2018-01-01,Carlos Paz,Total,86002,""
2018-01-01,Carlos Paz,Residentes,85776,""
2018-01-01,Carlos Paz,No residentes,226,""
2018-01-01,Catamarca,Total,5836,""
2018-01-01,Catamarca,Residentes,5723,""
2018-01-01,Catamarca,No residentes,113,""
2018-01-01,Corrientes,Total,15274,""
2018-01-01,Corrientes,Residentes,12395,""
2018-01-01,Corrientes,No residentes,2879,""
2018-01-01,Córdoba,Total,37820,""
2018-01-01,Córdoba,Residentes,30788,""
2018-01-01,Córdoba,No residentes,7032,""
2018-01-01,Formosa,Total,11294,""
2018-01-01,Formosa,Residentes,10103,""
2018-01-01,Formosa,No residentes,1191,""
2018-01-01,Gualeguaychú,Total,15535,""
2018-01-01,Gualeguaychú,Residentes,15381,""
2018-01-01,Gualeguaychú,No residentes,154,""
2018-01-01,Jujuy,Total,14171,""
2018-01-01,Jujuy,Residentes,12338,""
2018-01-01,Jujuy,No residentes,1833,""
2018-01-01,La Angostura,Total,18656,""
2018-01-01,La Angostura,Residentes,16557,""
2018-01-01,La Angostura,No residentes,2099,""
2018-01-01,La Falda,Total,21453,""
2018-01-01,La Falda,Residentes,21446,""
2018-01-01,La Falda,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,La Rioja,Total,4950,""
2018-01-01,La Rioja,Residentes,4791,""
2018-01-01,La Rioja,No residentes,159,""
2018-01-01,Las Grutas,Total,12821,""
2018-01-01,Las Grutas,Residentes,12672,""
2018-01-01,Las Grutas,No residentes,149,""
2018-01-01,Malargue-Las Leñas,Total,5990,""
2018-01-01,Malargue-Las Leñas,Residentes,5473,""
2018-01-01,Malargue-Las Leñas,No residentes,517,""
2018-01-01,Mar Chiquita,Total,7188,""
2018-01-01,Mar Chiquita,Residentes,7188,""
2018-01-01,Mar Chiquita,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Mar del Plata,Total,204018,""
2018-01-01,Mar del Plata,Residentes,202300,""
2018-01-01,Mar del Plata,No residentes,1718,""
2018-01-01,Mendoza,Total,52635,""
2018-01-01,Mendoza,Residentes,32075,""
2018-01-01,Mendoza,No residentes,20560,""
2018-01-01,Merlo,Total,19421,""
2018-01-01,Merlo,Residentes,19397,""
2018-01-01,Merlo,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Mina Clavero,Total,22297,""
2018-01-01,Mina Clavero,Residentes,22200,""
2018-01-01,Mina Clavero,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Neuquén,Total,23629,""
2018-01-01,Neuquén,Residentes,22072,""
2018-01-01,Neuquén,No residentes,1557,""
2018-01-01,Paraná,Total,7918,""
2018-01-01,Paraná,Residentes,7744,""
2018-01-01,Paraná,No residentes,174,""
2018-01-01,Pinamar,Total,57903,""
2018-01-01,Pinamar,Residentes,57604,""
2018-01-01,Pinamar,No residentes,299,""
2018-01-01,Posadas,Total,18472,""
2018-01-01,Posadas,Residentes,14902,""
2018-01-01,Posadas,No residentes,3570,""
2018-01-01,Puerto Iguazú,Total,57317,""
2018-01-01,Puerto Iguazú,Residentes,34921,""
2018-01-01,Puerto Iguazú,No residentes,22396,""
2018-01-01,Puerto Madryn,Total,25104,""
2018-01-01,Puerto Madryn,Residentes,22852,""
2018-01-01,Puerto Madryn,No residentes,2252,""
2018-01-01,Rafaela,Total,6690,""
2018-01-01,Rafaela,Residentes,6624,""
2018-01-01,Rafaela,No residentes,,Dato que no corresponde presentar debido a la naturaleza de las cosas
2018-01-01,Resistencia,Total,19613,""
